team_display,team,fifa_merge_name,fifa_team_name,fifa_rank,fifa_points,fifa_prev_rank,fifa_ranking_movement,fifa_country_code,fifa_confederation,fifa_rated_matches,fifa_ranking_source,fifa_ranking_last_update,fifa_ranking_next_update,squad_value_m,squad_value_source,avg_player_rating,top5_player_rating,rating_source,star_name,star_rating,star_available,star_source,injury_count,injury_source,data_quality,notes,elo_rating,goals_for_roll10,goals_against_roll10,points_roll10,fifa_id_team,fifa_ranking_schedule_id,fifa_ranking_source_url,tm_merge_name,tm_team_name_raw,tm_squad_size,tm_avg_age,tm_wc_participations,tm_foreigners_percent,tm_market_value_raw,tm_market_value_m_eur,tm_avg_market_value_raw,tm_avg_market_value_m_eur,tm_source_url,fifa_points_numeric,squad_value_numeric,fifa_points_z,squad_value_z,avg_rating_z,top5_rating_z,star_rating_z,official_fifa_strength_score,squad_only_strength_score,squad_strength_score,squad_strength_method
Mexico,Mexico,Mexico,Mexico,15,1681.028247,16.0,1.0,MEX,CONCACAF,80,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,191.85,Transfermarkt World Cup 2026 participants page,78.2,83.0,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,85.1,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1935.4670278394617,1.6,0.4,2.1,43911,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Mexico,Mexico,26,27.9,18,53.8 %,€191.85m,191.85,€7.38m,7.38,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1681.028247,191.85,0.646135463034623,-0.452650241473772,0.20073263636339891,0.14502300491886203,0.12349445136836591,0.646135463034623,-0.1160173127014903,0.2402564552872156,fifa_points_55_transfermarkt_value_30_rating_proxy_15
South Africa,South Africa,South Africa,South Africa,60,1429.728396,60.0,0.0,RSA,CAF,73,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,49.25,Transfermarkt World Cup 2026 participants page,71.4,75.2,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,76.7,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1633.7491024971162,1.4,1.0,1.5,43883,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,South Africa,South Africa,26,26.8,4,26.9 %,€49.25m,49.25,€1.89m,1.89,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1429.728396,49.25,-0.9579754722969905,-0.834948320277741,-1.1585854654833567,-1.1601840393509057,-1.2114375269620832,-0.9579754722969905,-1.0211962741361484,-0.9539612861298619,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Korea Republic,South Korea,Korea Republic,Korea Republic,25,1588.663904,22.0,-3.0,KOR,AFC,66,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,139.05,Transfermarkt World Cup 2026 participants page,75.5,79.8,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,81.6,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1879.5204424044505,1.5,1.2,1.9,43822,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,South Korea,South Korea,26,28.1,12,73.1 %,€139.05m,139.05,€5.35m,5.35,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1588.663904,139.05,0.056550343698360754,-0.5942024052945964,-0.3389966099581078,-0.3904465517046331,-0.4327272062693218,0.056550343698360754,-0.4781887956555149,-0.20783904803820996,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Czechia,Czech Republic,Czechia,Czechia,41,1501.3824,43.0,2.0,CZE,UEFA,49,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,188.18,Transfermarkt World Cup 2026 participants page,75.1,79.8,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,81.9,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1766.7373053267156,2.2,0.9,1.9,43995,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Czechia,Czechia,26,27.6,2,34.6 %,€188.18m,188.18,€7.24m,7.24,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1501.3824,188.18,-0.5005897200997274,-0.4624891892241967,-0.4189564983020358,-0.3904465517046331,-0.38505106418608964,-0.5005897200997274,-0.42775840478013577,-0.47236831120187683,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Canada,Canada,Canada,Canada,30,1556.482247,29.0,-1.0,CAN,CONCACAF,60,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,196.65,Transfermarkt World Cup 2026 participants page,76.5,81.4,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,83.6,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1878.5679699012935,1.1,0.4,1.7,43899,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Canada,Canada,25,27.1,3,92.0 %,€196.65m,196.65,€7.87m,7.87,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1556.482247,196.65,-0.14887336708128196,-0.4397818629446061,-0.1390968890982907,-0.12271177339288436,-0.11488625904778597,-0.14887336708128196,-0.26749650968047567,-0.23183040106976463,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,65,1385.838723,71.0,6.0,BIH,UEFA,44,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,151.6,Transfermarkt World Cup 2026 participants page,73.0,77.5,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,79.4,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1612.7335680593976,2.0,1.1,1.4,44037,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Bosnia-Herzegovina,Bosnia-Herzegovina,26,26.4,2,96.2 %,€151.60m,151.6,€5.83m,5.83,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1385.838723,151.6,-1.2381344303197253,-0.5605569572652149,-0.8387459121076505,-0.7753152955277695,-0.7823522482130094,-1.2381344303197253,-0.6924157095283823,-0.9657901658188408,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Qatar,Qatar,Qatar,Qatar,55,1454.958587,56.0,1.0,QAT,AFC,69,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,19.93,Transfermarkt World Cup 2026 participants page,69.9,73.0,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,75.0,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1557.7758878914435,0.9,1.7,0.7,43834,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Qatar,Qatar,26,29.4,2,3.8 %,€19.93m,19.93,€766k,0.766,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1454.958587,19.93,-0.7969247389895305,-0.9135526657933958,-1.4584350467730824,-1.5283193595295588,-1.4816023321003893,-0.7969247389895305,-1.230689930682615,-0.9392864587402359,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Switzerland,Switzerland,Switzerland,Switzerland,19,1649.39683,18.0,-1.0,SUI,UEFA,54,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,332.5,Transfermarkt World Cup 2026 participants page,79.2,84.6,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,87.1,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1910.4816214439295,2.5,0.7,2.1,43971,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Switzerland,Switzerland,26,28.3,13,92.3 %,€332.50m,332.5,€12.79m,12.79,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1649.39683,332.5,0.44422407427803196,-0.07557994144727656,0.400632357223216,0.4127577832306084,0.4413353985899018,0.44422407427803196,0.1948673642279757,0.28499180667129054,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Brazil,Brazil,Brazil,Brazil,6,1761.16093,5.0,-1.0,BRA,CONMEBOL,53,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,923.2,Transfermarkt World Cup 2026 participants page,84.1,90.7,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,93.0,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,2036.5110935306477,2.4,1.0,1.9,43924,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Brazil,Brazil,26,29.2,23,73.1 %,€923.20m,923.2,€35.51m,35.51,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1761.16093,923.2,1.15764278214466,1.5080348912981971,1.3801409894363181,1.4334966255441466,1.3789661928934334,1.15764278214466,1.4481881530142966,1.3014119697681086,fifa_points_55_transfermarkt_value_30_rating_proxy_15
Haiti,Haiti,Haiti,Haiti,83,1291.711814,83.0,0.0,HAI,CONCACAF,34,FIFA official API,2026-04-01T11:55:29.435Z,2026-06-11T00:00:00.000Z,55.9,Transfermarkt World Cup 2026 participants page,70.8,74.7,proxy_from_fifa_points_and_transfermarkt_market_value,to_be_filled,76.3,1,not_final_squad_assumption,0,not_final_squad_assumption,official_fifa_transfermarkt_value_rating_proxy_injury_assumption,,1718.1251070255037,1.5,1.0,1.5,43908,FRS_Male_Football_20260119,https://api.fifa.com/api/v3/fifarankings/rankings/rankingsbyschedule?rankingScheduleId=FRS_Male_Football_20260119,Haiti,Haiti,26,27.6,2,96.2 %,€55.90m,55.9,€2.15m,2.15,https://www.transfermarkt.us/world-cup/teilnehmer/pokalwettbewerb/FIWC,1291.711814,55.9,-1.838970457221563,-0.8171202541904592,-1.2785252979992487,-1.2438511575733269,-1.2750057164063913,-1.838970457221563,-1.0634302629611805,-1.4447052293066496,fifa_points_55_transfermarkt_value_30_rating_proxy_15
