team_display,team,elo_rating,goals_for_roll10,goals_against_roll10,points_roll10,win_rate_roll10,draw_rate_roll10,loss_rate_roll10,last_match_date,matches_used
Mexico,Mexico,1935.4670278394615,1.6,0.4,2.1,0.6,0.3,0.1,2026-06-04,10
South Africa,South Africa,1633.7491024971162,1.4,1.0,1.5,0.4,0.3,0.3,2026-05-29,10
Korea Republic,South Korea,1879.5204424044503,1.5,1.2,1.9,0.6,0.1,0.3,2026-06-03,10
Czechia,Czech Republic,1766.7373053267156,2.2,0.9,1.9,0.5,0.4,0.1,2026-06-04,10
Canada,Canada,1878.5679699012935,1.1,0.4,1.7,0.4,0.5,0.1,2026-06-01,10
Bosnia and Herzegovina,Bosnia and Herzegovina,1612.7335680593976,2.0,1.1,1.4,0.3,0.5,0.2,2026-05-29,10
Qatar,Qatar,1557.7758878914435,0.9,1.7,0.7,0.1,0.4,0.5,2026-05-28,10
Switzerland,Switzerland,1910.4816214439295,2.5,0.7,2.1,0.6,0.3,0.1,2026-05-31,10
Brazil,Brazil,2036.5110935306477,2.4,1.0,1.9,0.6,0.1,0.3,2026-05-31,10
Haiti,Haiti,1718.1251070255037,1.5,1.0,1.5,0.4,0.3,0.3,2026-06-02,10
Scotland,Scotland,1791.9363018387214,2.1,1.0,1.9,0.6,0.1,0.3,2026-05-30,10
Morocco,Morocco,1971.902253085262,2.2,0.3,2.4,0.7,0.3,0.0,2026-06-02,10
United States,United States,1817.02303310253,1.8,1.7,1.6,0.5,0.1,0.4,2026-05-31,10
Australia,Australia,1894.2345135341816,1.4,1.0,1.8,0.6,0.0,0.4,2026-05-30,10
Türkiye,Turkey,1907.522328886522,2.3,1.3,2.2,0.7,0.1,0.2,2026-06-01,10
Paraguay,Paraguay,1892.7586536311942,1.0,1.0,1.4,0.4,0.2,0.4,2026-03-31,10
Germany,Germany,1960.8288135391394,2.6,0.9,2.4,0.8,0.0,0.2,2026-05-31,10
Côte d'Ivoire,Ivory Coast,1799.019868650151,1.9,0.8,2.2,0.7,0.1,0.2,2026-06-04,10
Ecuador,Ecuador,1993.156337801992,0.9,0.5,1.6,0.3,0.7,0.0,2026-05-30,10
Curaçao,Curaçao,1607.956847789641,1.6,1.6,1.2,0.3,0.3,0.4,2026-05-30,10
Netherlands,Netherlands,1973.3751125681597,2.8,0.7,2.1,0.6,0.3,0.1,2026-06-03,10
Sweden,Sweden,1728.709539863918,1.3,2.0,0.9,0.2,0.3,0.5,2026-06-04,10
Tunisia,Tunisia,1760.18306183697,1.3,1.0,1.3,0.3,0.4,0.3,2026-06-01,10
Japan,Japan,1988.638674456006,1.9,0.6,2.3,0.7,0.2,0.1,2026-05-31,10
Belgium,Belgium,1939.1466948197133,3.6,0.9,2.4,0.7,0.3,0.0,2026-06-02,10
IR Iran,Iran,1888.720390738113,1.7,0.6,1.7,0.5,0.2,0.3,2026-06-04,10
New Zealand,New Zealand,1718.8418835899479,0.8,1.9,0.4,0.1,0.1,0.8,2026-06-02,10
Egypt,Egypt,1785.942191985814,1.4,0.5,2.1,0.6,0.3,0.1,2026-05-28,10
Uruguay,Uruguay,1944.7720820221,1.0,0.9,1.6,0.4,0.4,0.2,2026-03-31,10
Cabo Verde,Cape Verde,1673.2507397199297,1.7,1.0,1.7,0.4,0.5,0.1,2026-05-31,10
Spain,Spain,2140.464275709865,2.7,0.5,2.2,0.6,0.4,0.0,2026-06-04,10
Saudi Arabia,Saudi Arabia,1677.9949496637107,1.0,1.5,1.2,0.4,0.0,0.6,2026-05-30,10
Norway,Norway,1917.633747283176,3.1,0.7,2.3,0.7,0.2,0.1,2026-06-01,10
France,France,2092.1195967806043,2.4,0.8,2.5,0.8,0.1,0.1,2026-06-04,10
Senegal,Senegal,1899.5416623731187,1.9,0.9,2.2,0.7,0.1,0.2,2026-05-31,10
Iraq,Iraq,1748.1676789522703,1.1,0.8,1.8,0.5,0.3,0.2,2026-06-04,10
Argentina,Argentina,2140.289456135901,2.5,0.4,2.5,0.8,0.1,0.1,2026-03-31,10
Austria,Austria,1849.37244727867,2.7,0.4,2.5,0.8,0.1,0.1,2026-06-01,10
Jordan,Jordan,1768.299301040346,1.9,1.6,1.7,0.5,0.2,0.3,2026-05-31,10
Algeria,Algeria,1871.9052069253592,1.9,0.4,2.3,0.7,0.2,0.1,2026-06-03,10
Portugal,Portugal,1996.6910696129046,2.6,1.0,2.1,0.6,0.3,0.1,2026-03-31,10
Uzbekistan,Uzbekistan,1817.7980234315723,1.3,0.7,1.6,0.4,0.4,0.2,2026-06-01,10
Colombia,Colombia,2018.8267068785929,2.4,1.1,2.0,0.6,0.2,0.2,2026-06-01,10
Congo DR,DR Congo,1754.4772124131055,1.1,0.3,2.1,0.6,0.3,0.1,2026-06-03,10
England,England,2038.58819040928,2.2,0.5,2.2,0.7,0.1,0.2,2026-03-31,10
Ghana,Ghana,1630.16653340383,1.1,1.4,1.1,0.3,0.2,0.5,2026-06-02,10
Panama,Panama,1825.7008489499096,1.8,1.5,1.8,0.5,0.3,0.2,2026-06-03,10
Croatia,Croatia,1944.0181825925774,2.2,1.0,2.2,0.7,0.1,0.2,2026-06-02,10
